id,post_id,problem,choice1,choice2,choice3,choice4,solution,explanation
1,1,ユーザーがアバターを使って社会生活を送れる仮想世界とは？,ユニバース,メタバース,フルバース,カミバース,2,メタバースとは、一言でいうと「仮想空間」です。インターネット上に構成される3次元の世界で、私たちはアバターと呼ばれる自分の分身を介し世界に入ります。メタバースのポイントは現実世界に限りなく近い状態で活動できることです。現実世界と同じく常に時間が流れ続けている世界で、私たちはアバターを動かして遊んだり集まってミーティングをしたりできます。Web上の空間で社会生活を送れるのです。
2,1,メタバースゲームでないものはどれ？,あつまれどうぶつの森,フォートナイト,スマブラ,マインクラフト,3,メタバースゲームとは、インターネット上の仮想空間「メタバース」を用いて作られたゲームです。最近では、プレイするだけでお金を稼げるシステムが構築されているものもあります。
3,1,Meta社の前の社名は？,Google,Amazon,Facebook,Apple,3,Facebookは2021年10月28日、社名を｢Meta（メタ）｣に変更すると発表した。｢現在のさまざまなオンライン上でのソーシャル体験を掛け合わせたようなものになります。時には3次元に拡張され、時には現実世界に投影される、それがメタバースです｣と発言している。
4,2,プログラミングとは？,「プラスチックを作る」,「プラモデル」を作る,「プレステ」を作る,「プログラム」を作る,4,「プログラミング」とは「プログラム」を作る作業のことです。また、プログラムとは、簡単にいうと「コンピュータにさせる処理を、順番に書き出したもの」です。
5,2,プログラミングで作られていないものは？,Webサイト,炊飯器,自転車,自動車,3,身近なもののほとんどがプログラミングで作られています。例えば、炊飯器、冷蔵庫などの皆さんの自宅にもある家電製品ではプログラムが動いています。
6,2,いずれのうち、プログラミング言語は？,英語,C言語,日本語,国語,2,プログラミング言語とは、「プログラムを書くときに用いる言語」のことです。コンピューターが理解できる機械語は0と1の羅列でありプログラマーが機械語のプログラムを直接書くことは難しいため、プログラミング言語が使われるようになりました。
7,3,Amazonの創設者は？,マイケル・ジャクソン,ジェフ・ベゾス,ミッキーマウス,スティーブ・ジョブズ,2,Amazonの創設者は「ジェフ・ベゾス」です。また、「スティーブ・ジョブズ」はAppleの創設者です。
8,3,Netflixの創設者は？,習近平,リード・ヘイスティングス,徳川家康,目黒連,2,Netflixは1997年8月29日、現CEOのリード・ヘイスティングスと、ソフトウェア会社の役員だったマーク・ランドルフによって設立されました。
9,3,ソフトバンクの創設者は？,孫正義,ひろゆき,堀江 貴文,三木谷 浩史,1,福岡県大野城市に「日本ソフトバンク」を設立し、代表取締役社長に就任する。「お金じゃない、地位や名誉でもない、ばあちゃんがやっていたような、人に喜んでもらえることに貢献できたら幸せだ。どこか名前も知らない小さな女の子に『ありがとう』と言ってもらえるような、そんな仕事がしたい」と思い今に至る。
10,4,日本発祥のものは？,スマートフォン,絵文字,コピー機,フォント,2,約20年前に日本の携帯電話から生まれた絵文字は、今では世界中の人々のコミュニケーションに欠かせないものとなっている。
11,4,日本発祥のハードウェアは？,カーナビ,パソコン,信号機,冷蔵庫,1,世界初のカーナビとされるのが、 1981年に本田技研工業が開発した「ホンダ・エレクトロ・ジャイロケータ」である。
12,4,日本発祥のアプリは？,メルカリ,UberEats,Instagram,Gmail,1,メルカリとは、日本およびアメリカ合衆国にてサービスを提供しているフリマアプリである。「メルカリ」の名称は、ラテン語で「商いする」との意味の「mercari」に由来しており、「マーケット」の語もこの語が起源である。
13,5,2025年には日本のIT人材は何人不足と言われている？,約1万人,約40万人,約100万人,約1億人,2,2025年に日本は4人に1人が高齢者になります。旧システムを知る多くの技術者が定年を迎え、COBOLを知る人材の供給ができなくなります。さらに2025年にはIT人材の不足は43万人に、2030年には最大で79万人に増大すると言われています。
14,5,2025年には古い基幹システムは何割になる？,２割,４割,６割,８割,3,2025年には古い基幹システムを21年以上利用している企業が6割になると見込まれています。多くの企業にとってオンプレミスからクラウド型へとシステム全体の見直しが必要になってくるのが、ちょうど2025年あたりになります。,new DateTime(),new DateTime()
15,5,2025年にはデジタル市場は何割になる？,１割,２割,３割,４割,4,さらに2020年には５Gの実用化、さらに自動運転の実用化、AIの一般利用の進展など、従来のITサービスでは扱いきれない膨大な量のデータを扱えるデジタル市場が更に拡大していきます。2017年にわずか1割程度の市場規模だったデジタル市場が2025年には全体の4割まで拡大していくと見られています。